bq2419x_show_enable_cd +0x10 -> 0xc02c1b5c dev_get_drvdata
bq2419x_show_enable_cd +0x28 -> 0xc0256a04 sprintf
bq2419x_show_enable_batfet +0x10 -> 0xc02c1b5c dev_get_drvdata
bq2419x_show_enable_batfet +0x28 -> 0xc0256a04 sprintf
bq2419x_show_enable_charger +0x10 -> 0xc02c1b5c dev_get_drvdata
bq2419x_show_enable_charger +0x24 -> 0xc0256a04 sprintf
bq2419x_show_enable_itermination +0x10 -> 0xc02c1b5c dev_get_drvdata
bq2419x_show_enable_itermination +0x24 -> 0xc0256a04 sprintf
bq2419x_show_termination_current +0x10 -> 0xc02c1b5c dev_get_drvdata
bq2419x_show_termination_current +0x24 -> 0xc0256a04 sprintf
bq2419x_show_precharge_current +0x10 -> 0xc02c1b5c dev_get_drvdata
bq2419x_show_precharge_current +0x24 -> 0xc0256a04 sprintf
bq2419x_show_charge_current +0x10 -> 0xc02c1b5c dev_get_drvdata
bq2419x_show_charge_current +0x24 -> 0xc0256a04 sprintf
bq2419x_show_regulation_voltage +0x10 -> 0xc02c1b5c dev_get_drvdata
bq2419x_show_regulation_voltage +0x24 -> 0xc0256a04 sprintf
bq2419x_show_cin_limit +0x10 -> 0xc02c1b5c dev_get_drvdata
bq2419x_show_cin_limit +0x24 -> 0xc0256a04 sprintf
bq2419x_show_dppm_voltage +0x10 -> 0xc02c1b5c dev_get_drvdata
bq2419x_show_dppm_voltage +0x24 -> 0xc0256a04 sprintf
bq2419x_show_enable_hz_mode +0x10 -> 0xc02c1b5c dev_get_drvdata
bq2419x_show_enable_hz_mode +0x24 -> 0xc0256a04 sprintf
bq2419x_show_temperature_parameter +0x14 -> 0xc02c1b5c dev_get_drvdata
bq2419x_show_temperature_parameter +0x48 -> 0xc0256a04 sprintf
bq2419x_show_temperature_parameter +0x50 -> 0xc025382c strlen
bq2419x_show_chargelog +0x80 -> 0xc02c1b5c dev_get_drvdata
bq2419x_show_chargelog +0x94 -> 0xc0418928 bq2419x_read_block
bq2419x_show_chargelog +0xa8 -> 0xc0256a04 sprintf
bq2419x_show_chargelog +0xb4 -> 0xc0253674 strcat
bq2419x_show_chargelog +0xc4 -> 0xc025382c strlen
bq2419x_show_chargelog +0xd8 -> 0xc024a5e0 memcpy
