index,address,offset,type,size,name
118,0xc000ccc4,0x4cc4,T,76,hook_fault_code
119,0xc000cd10,0x4d10,t,180,exceptions_init
120,0xc000cdc4,0x4dc4,T,80,hook_ifault_code
121,0xc000ce14,0x4e14,t,48,parse_tag_initrd2
122,0xc000ce44,0x4e44,t,56,meminfo_cmp
123,0xc000ce7c,0x4e7c,t,40,keepinitrd_setup
124,0xc000cea4,0x4ea4,t,72,parse_tag_initrd
125,0xc000ceec,0x4eec,t,88,early_initrd
126,0xc000cf44,0x4f44,T,424,arm_memblock_init
127,0xc000d0ec,0x50ec,T,676,bootmem_init
128,0xc000d390,0x5390,T,1788,mem_init
129,0xc000da8c,0x5a8c,T,436,check_writebuffer_bugs
130,0xc000dc40,0x5c40,t,76,noalign_setup
131,0xc000dc8c,0x5c8c,t,116,early_vmalloc
132,0xc000dd00,0x5d00,t,308,early_cachepolicy
133,0xc000de34,0x5e34,t,60,early_nowrite
134,0xc000de70,0x5e70,t,60,early_nocache
135,0xc000deac,0x5eac,t,120,early_ecc
136,0xc000df24,0x5f24,t,48,early_alloc.constprop.3
137,0xc000df54,0x5f54,t,144,early_pte_alloc
138,0xc000dfe4,0x5fe4,T,868,create_mapping
139,0xc000e348,0x6348,T,68,iotable_init
140,0xc000e38c,0x638c,T,428,sanity_check_meminfo
141,0xc000e538,0x6538,T,40,arm_mm_memblock_reserve
142,0xc000e560,0x6560,T,2016,paging_init
143,0xc000ed40,0x6d40,t,276,alignment_init
144,0xc000ee54,0x6e54,t,20,v6_userpage_init
145,0xc000ee68,0x6e68,T,12,v7wbi_tlb_fns
146,0xc000ee74,0x6e74,T,584,l2x0_init
147,0xc000f0bc,0x70bc,T,120,gic_cascade_irq
148,0xc000f134,0x7134,T,528,gic_init
149,0xc000f344,0x7344,t,36,hisi_pmu_init
150,0xc000f368,0x7368,t,128,early_parse_hwversion_cmdline
151,0xc000f3e8,0x73e8,t,132,early_parse_logctl_cmdline
152,0xc000f46c,0x746c,t,132,early_parse_enterrecovery_cmdline
153,0xc000f4f0,0x74f0,t,132,early_parse_pdcharge_cmdline
154,0xc000f574,0x7574,t,288,early_parse_boardid_cmdline
155,0xc000f694,0x7694,t,304,early_parse_resetmode_cmdline
156,0xc000f7c4,0x77c4,t,268,early_k3v2_mem
157,0xc000f8d0,0x78d0,T,60,hisik3_init_cache
158,0xc000f90c,0x790c,t,104,early_parse_runmode_cmdline
159,0xc000f974,0x7974,t,148,early_parse_cpumaxfreq_cmdline
160,0xc000fa08,0x7a08,t,148,early_parse_hpm_cmdline
161,0xc000fa9c,0x7a9c,T,92,hisik3_amba_init
162,0xc000faf8,0x7af8,T,36,hisik3_lm_init
163,0xc000fb1c,0x7b1c,T,44,hisik3_platform_init
164,0xc000fb48,0x7b48,T,24,k3v2_common_init
165,0xc000fb60,0x7b60,t,32,lm_init
166,0xc000fb80,0x7b80,T,128,k3v2_init_clocks
167,0xc000fc00,0x7c00,T,356,freerun_timer_init
168,0xc000fd64,0x7d64,T,232,sp804_clockevents_init
169,0xc000fe4c,0x7e4c,t,276,hisik3_timer_init
170,0xc000ff60,0x7f60,T,60,k3v2_map_common_io
171,0xc000ff9c,0x7f9c,T,76,k3v2_gic_init_irq
172,0xc000ffe8,0x7fe8,t,220,clk_debugfs_init
173,0xc00100c4,0x80c4,T,20,k3v2_init_clock
174,0xc00100d8,0x80d8,t,40,k3v2_pmem_init
175,0xc0010100,0x8100,t,280,early_k3v2_lcd_density
176,0xc0010218,0x8218,T,400,k3v2_allocate_memory_regions
177,0xc00103a8,0x83a8,t,24,k3v2_pmem_setup
178,0xc00103c0,0x83c0,t,52,k3v2_irqaffinity_init
179,0xc00103f4,0x83f4,t,80,vcc_regulator_init
180,0xc0010444,0x8444,t,140,iomux_debuginit
181,0xc00104d0,0x84d0,T,76,iomux_init_blocks
182,0xc001051c,0x851c,t,380,k3v2oem1_init
183,0xc0010698,0x8698,t,92,k3v2_early_init
184,0xc00106f4,0x86f4,t,36,k3v2_map_io
185,0xc0010718,0x8718,t,340,k3v2oem1_init
186,0xc001086c,0x886c,t,92,k3v2_early_init
187,0xc00108c8,0x88c8,t,36,k3v2_map_io
188,0xc00108ec,0x88ec,T,116,smp_init_cpus
189,0xc0010960,0x8960,T,316,platform_smp_prepare_cpus
190,0xc0010a9c,0x8a9c,t,40,k3_dma_init
191,0xc0010ac4,0x8ac4,t,520,hisik3_pm_init
192,0xc0010ccc,0x8ccc,t,76,k3v2_cpufreq_init
193,0xc0010d18,0x8d18,t,32,ipps2_init
194,0xc0010d38,0x8d38,t,228,lowpmreg_init
195,0xc0010e1c,0x8e1c,t,380,k3v2_wifi_init
196,0xc0010f98,0x8f98,t,192,mu739_power_init
197,0xc0011058,0x9058,t,68,setup_relax_domain_level
198,0xc001109c,0x909c,t,44,isolated_cpu_setup
199,0xc00110c8,0x90c8,t,136,migration_init
200,0xc0011150,0x9150,T,436,sched_init_smp
201,0xc0011304,0x9304,T,1252,sched_init
202,0xc00117e8,0x97e8,t,56,coredump_filter_setup
203,0xc0011820,0x9820,T,172,fork_init
204,0xc00118cc,0x98cc,T,332,proc_caches_init
205,0xc0011a18,0x9a18,t,72,proc_execdomains_init
206,0xc0011a60,0x9a60,t,80,oops_setup
